,Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
59,60,Rex Burkhead,CIN,RB,16,74,344,4.6,2,20,17,145,0,1,1,3.7,58.9
60,61,Jeremy Langford,CHI,RB,12,62,200,3.2,4,27,19,142,0,2,2,4.5,54.2
61,62,Travaris Cadet,NO,RB,15,4,19,4.8,0,54,40,281,4,0,0,3.6,54.0
62,63,Alfred Blue,HOU,RB,14,100,420,4.2,1,16,12,40,0,2,1,3.6,50.0
63,64,Fozzy Whittaker,CAR,RB,16,57,265,4.6,0,33,25,226,0,1,1,2.9,47.1
64,65,Jamize Olawale,OAK,FB,16,17,47,2.8,2,14,12,227,1,0,0,2.8,45.4
65,66,CJ Prosise,SEA,RB,6,30,172,5.7,1,19,17,208,0,0,0,7.3,44.0
66,67,Charles Sims,TB,RB,7,51,149,2.9,1,32,24,190,1,1,1,6.3,43.9
67,68,Justin Forsett,DEN,RB,9,87,291,3.3,1,27,20,85,0,2,1,4.6,41.6
68,69,John Kuhn,NO,FB,16,18,37,2.1,4,20,16,70,1,0,0,2.5,40.7
69,69,Wendell Smallwood,PHI,RB,13,77,312,4.1,1,13,6,55,0,1,1,3.1,40.7
