Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
86,Bart Scott,NYJ,LB,15,36,24,9,2.5,23,5,1,1,0,1,0,5.1,76.3
87,Takeo Spikes,LAC,LB,16,53,25,1,0.5,5,4,1,0,1,0,0,4.8,76
88,Bruce Carter,DAL,ILB,11,51,19,9,0,0,2,2,0,0,0,0,6.7,73.5
89,Calvin Pace,NYJ,OLB,16,35,20,7,3,16,6,2,0,0,1,0,4.4,70.6
90,Courtney Upshaw,BAL,OLB,16,34,21,8,1.5,10,3,2,0,1,2,0,4.4,70.5
91,Erik Walden,GB,OLB,15,27,19,3,3,6,14,4,2,0,0,0,4.7,70.1
92,Lamarr Woodley,PIT,OLB,13,27,11,6,4,21,8,1,1,1,1,0,5.1,66.6
93,Demorrio Williams,LAC,LB,14,33,11,1,0,0,3,3,2,0,0,2,4.5,63.5
94,Ray Lewis,BAL,LB,6,44,13,1,1,0,2,1,0,1,1,0,10.4,62.5
95,Trent Cole,PHI,OLB,16,24,16,6,3,20,9,1,0,1,1,0,3.9,62
96,Quentin Groves,ARI,OLB,16,34,7,3,4,19,7,0,0,1,0,0,3.8,60.4
97,James Anderson,CAR,ILB,12,38,34,3,0,0,0,2,0,0,0,0,5,60
97,Sean Lee,DAL,OLB,6,36,22,3,0,0,1,3,1,1,0,0,10,60
99,Rolando McClain,OAK,ILB,11,37,25,3,1,7,1,0,0,1,0,0,5.4,59.2
100,Akeem Dent,ATL,OLB,16,40,22,5,0,0,1,2,0,0,0,0,3.7,59
101,Kaluka Maiava,CLE,ILB,16,30,18,1,2,9,4,3,0,2,0,0,3.6,57.9
102,O'Brien Schofield,ARI,OLB,9,26,8,6,4,37,9,0,0,0,0,0,6.3,56.7
103,Albert McClellan,BAL,ILB,14,29,13,6,1,11,1,2,0,1,2,0,4,56.6
