Year,Player,College,Position,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle
2016,Keyarris Garrett,Tulsa,WR,5.19,75,34.5,220,9,4.53,14,36.5,128,7.3,4.33,11.72
2016,Ricardo Louis,Auburn,WR,5.19,74,32.375,215,9.5,4.43,18,38,132,,,
2016,DeMarcus Ayers,Houston,WR,5.17,69,31.25,182,9.25,4.72,,33,123,,,
2016,Byron Marshall,Oregon,WR,5.16,69,30.25,201,9.5,,17,,,,,
2016,D.J. Foster,Arizona State,WR,5.14,70,30.5,193,9.25,4.57,14,35.5,117,6.75,4.07,11.12
2016,Alonzo Russell,Toledo,WR,5.12,76,33.875,206,9.5,4.54,12,29.5,112,7.18,4.33,11.88
2016,Chris Brown,Notre Dame,WR,5.1,74,32.25,194,9,,,,,,,
2016,Jordan Payton,UCLA,WR,5.08,73,32.5,207,10.125,4.47,,34.5,121,7.08,4.33,
2016,Kolby Listenbee,TCU,WR,5.07,72,31.375,197,8.25,4.39,15,35.5,129,,,
2016,Mekale McKay,Cincinnati,WR,5.06,76,30.625,207,9.5,4.55,12,35,123,7.08,4.63,11.89
2016,Cayleb Jones,Arizona,WR,4.97,75,32.75,209,9.25,4.65,9,33.5,,6.99,4.14,11.46
2016,Rashawn Scott,Miami,WR,4.92,73,31.375,199,9.375,,17,32.5,116,,,
2016,Trevor Davis,California,WR,4.91,73,31,188,10,4.42,11,38.5,124,6.6,4.22,10.94
2016,Cody Core,Ole Miss,WR,4.9,75,32,205,10.375,4.47,14,31.5,119,,,
2016,Geronimo Allison,Illinois,WR,4.86,75,32.875,196,9.5,4.67,,33,127,7.4,4.28,11.54
2016,Johnny Holton,Cincinnati,WR,4.85,73,32.875,190,9.875,4.54,8,31.5,123,,,
2016,Marquez North,Tennessee,WR,4.83,74,33.375,223,10.25,4.48,17,35,123,6.9,4.13,
2016,Roger Lewis,Bowling Green,WR,4.83,72,32,201,9.75,4.57,8,33.5,116,,,
2016,Hunter Henry,Arkansas,TE,6.5,77,32.75,250,9.25,,13,,,,,
2016,Austin Hooper,Stanford,TE,5.75,76,33.75,254,10.625,4.72,19,33,117,7,4.32,11.93
2016,Nick Vannett,Ohio State,TE,5.7,78,34.25,257,10,,17,30.5,111,7.05,4.2,11.5
2016,Thomas Duarte,UCLA,TE,5.65,74,33,231,10,4.72,12,33.5,118,6.97,4.24,
2016,Tyler Higbee,Western Kentucky,TE,5.64,78,33.25,249,10.25,,,,,,,
2016,Beau Sandland,Montana State,TE,5.39,76,34.25,253,10.125,4.74,23,35,124,7.1,4.33,11.75
2016,Jerell Adams,South Carolina,TE,5.35,77,34.375,247,9.75,4.64,,32.5,117,7.05,4.31,11.52
2016,Jake McGee,Florida,TE,5.3,77,32.375,250,9.625,,17,,,,,
2016,Bryce Williams,East Carolina,TE,5.24,78,33.625,257,9.625,4.94,19,29.5,111,7.19,4.53,12.03
2016,Ben Braunecker,Harvard,TE,5.23,75,32.75,250,9.5,4.73,20,35.5,121,6.9,4.2,11.32
2016,David Morgan,Texas-San Antonio,TE,5.17,76,33.625,262,10.5,5.02,29,30,115,6.93,4.19,11.6
2016,Ryan Malleck,Virginia Tech,TE,5.16,76,32.5,247,9.375,,18,34.5,121,7,4.33,
2016,Stephen Anderson,California,TE,5,74,32,230,9.25,,16,38,119,,,
2016,Temarrick Hemingway,South Carolina State,TE,5,77,34,244,10,4.71,18,30.5,115,6.88,4.31,11.5
2016,David Grinnage,North Carolina State,TE,4.92,77,34.5,248,10.125,4.9,,29.5,106,,,
2016,Ryan Kelly,Alabama,C,5.8,76,33.625,311,9.625,5.03,26,,103,7.58,4.59,
2016,Max Tuerk,USC,C,5.62,77,32.5,298,10.75,,22,,,,,
2016,Jack Allen,Michigan State,C,5.51,73,32.25,294,10.125,5.29,23,,101,7.9,4.73,
2016,Graham Glasgow,Michigan,C,5.5,78,33.625,307,10.75,5.13,23,,106,7.63,4.63,
2016,Evan Boehm,Missouri,C,5.42,74,31.625,309,10.25,5.33,24,,96,7.52,4.69,
2016,Matt Skura,Duke,C,5.26,75,35.25,305,10,5.39,27,,103,7.89,4.76,
2016,Austin Blythe,Iowa,C,5.24,74,30.25,291,9.375,5.36,29,,99,7.52,4.53,
2016,Jake Brendel,UCLA,C,4.93,75,,286,,5.01,25,,108,7.31,4.27,
2016,Cody Whitehair,Kansas State,OG,6.43,76,32.375,301,10.125,5.08,16,,110,7.32,4.58,
2016,Germain Ifedi,Texas A&M,OG,5.89,78,36,324,10.75,5.27,24,,109,,4.75,
2016,Joshua Garnett,Stanford,OG,5.89,76,33.875,312,10.125,5.32,30,,99,7.62,4.64,
2016,Christian Westerman,Arizona State,OG,5.75,75,33.5,298,11.875,5.17,34,,98,7.69,4.71,
2016,Rees Odhiambo,Boise State,OG,5.74,76,33.25,314,9.625,,23,,,,,
2016,Nick Martin,Notre Dame,OG,5.66,76,32.5,299,9.75,5.22,28,,97,7.57,4.72,
2016,Landon Turner,North Carolina,OG,5.65,76,32.875,330,10.375,5.58,30,,88,,,
