Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
142,Aaron Ross,JAX,CB,14,37,9,1,0,0,0,3,0,0,0,0,3.2,45.5
144,Trumaine Johnson,LAR,CB,16,28,2,2,0,0,0,8,2,0,0,0,2.8,45
145,Erik Coleman,DET,SS,12,30,15,0,0,0,1,3,1,0,0,0,3.7,44.5
146,Tom Zbikowski,IND,SS,11,27,11,2,1,6,1,5,1,0,0,0,4,44.1
147,Ahmad Black,TB,FS,16,26,6,0,0,0,1,5,2,1,0,0,2.8,44
148,AJ Jefferson,MIN,CB,15,33,3,0,0,0,0,5,0,0,1,0,2.8,42.5
149,Troy Polamalu,PIT,SS,7,29,5,1,1,6,1,3,1,0,0,0,6,42.1
150,Jacob Lacey,DET,CB,11,29,6,3,0,0,0,4,1,0,0,0,3.8,42
150,Louis Delmas,DET,FS,8,28,10,3,0,0,1,2,1,0,0,0,5.2,42
152,Justin Rogers,BUF,CB,16,31,5,2,0,0,0,5,1,0,0,0,2.6,41.5
152,Ricardo Silva,DET,SS,10,28,9,0,0,0,0,3,1,0,1,0,4.2,41.5
152,Ryan Mouton,TEN,DB,13,31,11,2,0,0,0,3,0,0,0,0,3.2,41.5
155,Chris Cook,MIN,CB,10,27,8,1,1,11,1,5,0,0,0,0,4.1,41.1
156,Lardarius Webb,BAL,FS,6,24,1,0,0,0,1,6,1,1,1,0,6.8,40.5
157,Pat Lee,DET,CB,15,26,5,1,0,0,0,4,1,1,0,0,2.6,39.5
157,Da'Norris Searcy,BUF,SS,15,22,13,4,0,0,0,1,0,2,0,0,2.6,39.5
157,Dwight Lowery,JAX,FS,9,26,5,1,0,0,0,4,1,0,1,0,4.4,39.5
157,DJ Moore,CHI,CB,13,25,5,2,0,0,0,6,2,0,0,0,3,39.5
161,Mike Mitchell,OAK,SS,16,24,8,2,1,6,6,0,0,0,0,0,2.4,38.6
162,Leodis McKelvin,BUF,CB,13,19,1,0,0,0,1,3,1,0,0,0,3,38.5
163,Dimitri Patterson,MIA,CB,9,30,3,0,0,0,1,5,0,0,0,0,4.2,37.5
164,Jonte Green,DET,CB,15,23,6,1,1,2,1,4,1,0,0,0,2.5,37.2
165,Cedric Griffin,WAS,SS,9,25,8,1,0,0,0,4,0,1,0,0,4.1,37
165,Marcus Trufant,SEA,CB,12,24,10,0,0,0,0,2,0,1,1,0,3.1,37
165,DeJon Gomes,WAS,SS,15,20,12,0,0,0,1,4,1,0,1,0,2.5,37
165,Don Carey,DET,SS,9,19,8,2,0,0,1,5,2,0,0,0,4.1,37
